Price,Open,High,Low
69.365,69.525,69.755,69.255
69.529,69.607,69.794,69.419
69.625,69.821,69.821,69.491
69.85,70.028,70.041,69.808
70.012,70.111,70.245,69.827
70.116,70.15100000000001,70.152,69.95
70.08,70.479,70.692,70.02199999999999
70.49,70.96300000000001,70.975,70.44800000000001
70.91,70.815,70.923,70.8
71.0,70.811,71.0,70.715
70.84,71.23100000000001,71.271,70.71300000000001
71.2,71.01,71.491,70.929
70.96,70.829,71.346,70.809
70.834,71.03399999999999,71.102,70.827
71.035,71.195,71.265,71.035
71.165,71.061,71.28,70.925
71.01,71.32,71.344,70.933
71.3,71.351,71.602,71.251
71.387,71.335,71.53699999999999,71.32600000000001
71.33,71.028,71.464,71.028
71.02,70.869,71.233,70.8
70.875,70.541,70.88,70.39699999999999
70.535,71.25399999999999,71.25399999999999,70.515
71.14,71.24,71.301,71.038
71.175,71.395,71.434,71.015
71.3,71.639,71.76899999999999,71.271
71.55,71.52,71.683,71.492
71.53,71.714,71.812,71.528
71.71,71.469,71.845,71.462
71.435,71.115,71.485,70.952
70.96,70.959,71.215,70.865
71.235,71.423,71.423,71.123
71.39,71.085,71.461,71.02600000000001
71.07,70.92,71.196,70.915
70.9,71.04,71.25,70.89
71.0,71.14699999999999,71.315,70.955
71.19,71.24,71.37,71.115
71.26,71.197,71.46600000000001,71.165
71.188,71.205,71.538,71.14
71.21,71.04,71.274,70.987
71.05,71.146,71.416,70.972
70.98,71.11,71.265,70.934
71.1,70.75,71.156,70.723
70.76,70.4,70.95,70.36
70.399,70.43,70.601,70.357
70.42,70.53,70.655,70.318
70.56,70.11,70.648,70.05
70.14,69.806,70.24,69.765
69.803,69.532,69.953,69.255
69.55,70.115,70.145,69.55
70.11,70.3,70.531,70.03399999999999
70.0,69.469,70.255,69.469
69.453,69.635,69.745,69.435
69.57,69.783,69.946,69.57
69.933,70.15100000000001,70.15100000000001,69.885
70.361,70.08800000000001,70.404,70.08800000000001
70.07,70.065,70.17,69.755
70.05,70.05,70.05,70.05
70.105,70.15100000000001,70.296,69.873
70.14,70.003,70.32,69.75
69.98,70.697,70.71600000000001,69.655
70.279,70.357,70.482,69.862
70.62,71.34,71.361,70.421
71.61,71.9,71.9,71.49600000000001
71.92,71.55,72.043,71.55
71.53,71.858,71.858,71.456
71.84,72.283,72.283,71.76899999999999
72.291,72.506,72.506,71.691
72.52,71.36,72.637,71.24
70.86,70.57,70.86,70.453
70.85,70.81,71.15,70.745
70.56,70.71,70.75,70.39
70.53,70.5,70.69,70.33
70.44,69.88,70.47,69.88
69.65,69.695,69.915,69.57
69.78,70.11,70.145,69.78
70.64,70.9,70.9,70.58
70.785,70.815,71.03,70.71
70.82,70.495,70.905,70.31
70.655,70.675,70.675,70.655
70.69,71.135,71.195,70.675
71.305,71.415,71.415,71.305
71.43,71.37,71.523,71.28699999999999
71.61,71.925,72.082,71.55
71.98,71.995,71.995,71.715
71.915,72.035,72.185,71.87
72.31,72.175,72.405,72.005
72.615,72.795,72.81,72.515
72.86,72.735,73.067,72.735
72.48,72.68,72.828,72.415
72.38,72.46,72.46,72.38
72.45,72.95,72.95,72.45
72.955,72.945,73.075,72.905
73.08,72.807,73.135,72.757
72.44,73.125,73.215,72.43
73.455,73.855,73.873,73.455
73.96,73.92,74.14,73.8
73.68,73.56,73.705,73.52
73.4,73.355,73.525,73.322
73.46,73.43,73.472,73.27
73.23,73.35,73.38,73.165
73.23,73.16,73.343,73.1
73.55,73.71,73.833,73.51
73.56,73.305,73.565,73.192
73.375,73.605,73.655,73.295
73.53,73.59,73.615,73.485
73.6,73.42,73.67,73.373
73.465,73.81,73.96,73.465
73.77,73.803,74.07,73.77
73.61,73.83,73.86,73.53
74.05,74.38,74.49,74.005
74.25,74.16,74.293,74.06
74.34,73.91,74.405,73.88
74.065,73.87,74.1,73.765
73.77,73.62,74.25,73.425
73.63,73.71,73.825,73.5
73.345,73.265,73.43,72.92
72.925,72.925,72.925,72.925
72.925,72.605,72.945,72.605
72.51,72.57,72.67,72.405
72.57,72.43,72.77,72.39
72.6,72.71,72.755,72.53699999999999
72.685,72.905,72.96,72.575
72.67,72.48,72.74,72.34
72.24,71.86,72.48,71.76
72.015,72.345,72.345,72.015
72.36,72.72,72.875,72.345
72.71,72.56,72.99,72.36
72.54,72.53,72.695,72.315
71.88,71.7,71.995,71.535
72.03699999999999,72.03699999999999,72.03699999999999,72.03699999999999
72.16,72.843,72.92,71.925
72.64,72.31,72.75,72.25
72.455,72.135,72.68,72.075
71.79,71.96,72.045,71.665
71.95,71.63,72.105,71.63
71.755,71.405,71.955,71.375
71.585,71.285,71.585,71.095
71.215,70.79,71.22,70.725
71.005,70.955,71.025,70.855
70.745,70.635,70.875,70.595
70.535,70.325,70.635,70.24
70.1,70.05,70.297,70.05
70.165,69.765,70.165,69.705
69.97,70.22,70.24,69.898
70.105,70.015,70.17,69.968
69.87,69.88,69.895,69.8
69.86,69.665,69.92,69.535
69.82,69.82,69.88,69.6
70.1,70.13,70.16,70.08
